id,date,num_of_events,value
17850,2010-12-01,10,1499.34
13047,2010-12-01,3,366.63
12583,2010-12-01,1,855.86
13748,2010-12-01,1,204
15100,2010-12-01,1,350.4
14688,2010-12-01,1,444.98
17809,2010-12-01,1,34.8
14527,2010-12-01,1,-27.5
17420,2010-12-01,1,130.85
16250,2010-12-01,1,226.14
12431,2010-12-01,1,358.25
15311,2010-12-01,2,445.33
13448,2010-12-01,2,443.96
12791,2010-12-01,1,192.6
16218,2010-12-01,1,471.3
14307,2010-12-01,1,783.11
17908,2010-12-01,1,243.28
17951,2010-12-01,1,295.5
15012,2010-12-01,1,191.06
12868,2010-12-01,1,203.3
12662,2010-12-01,1,261.48
17905,2010-12-01,1,201.75
13777,2010-12-01,7,6585.16
17850,2010-12-02,24,3891.87
15513,2010-12-01,1,357
17968,2010-12-01,1,277.35
17897,2010-12-01,2,140.39
14237,2010-12-01,1,161
15350,2010-12-01,1,115.65
17017,2010-12-02,2,877.32
14388,2010-12-02,1,312.8
15061,2010-12-02,6,9407.34
14001,2010-12-01,1,301.24
13576,2010-12-01,1,349.15
18011,2010-12-01,1,102.79
17884,2010-12-03,1,187.51
16839,2010-12-05,1,552.24
15605,2010-12-01,1,194.85
13694,2010-12-01,1,842.12
16210,2010-12-01,1,2474.74
14911,2010-12-01,2,555.38
16456,2010-12-01,1,787.4
17841,2010-12-01,2,533.58
12472,2010-12-01,1,-122.3
14496,2010-12-01,1,304.34
17025,2010-12-01,2,160.97
18229,2010-12-01,1,344.2
17925,2010-12-02,1,244.08
13418,2010-12-02,2,623.24
15922,2010-12-02,1,-5.9
17547,2010-12-02,1,-11.8
17567,2010-12-02,1,517.95
14031,2010-12-02,1,1714.25
17181,2010-12-01,1,155.52
14901,2010-12-02,1,204.15
14060,2010-12-02,1,339.84
15827,2010-12-02,2,190.93
15574,2010-12-02,1,375.65
17068,2010-12-06,1,166.15
18077,2010-12-08,1,204.87
17702,2010-12-09,1,-88.15
13081,2010-12-03,2,2366.78
14236,2010-12-02,1,189.3
13069,2010-12-05,2,332.5
17548,2010-12-01,1,-141.48
13705,2010-12-01,1,318.14
13408,2010-12-01,1,1024.68
16029,2010-12-01,2,3702.12
14849,2010-12-01,3,355.84
14729,2010-12-01,1,313.49
17572,2010-12-01,1,70.8
13093,2010-12-01,1,799.4
14045,2010-12-01,1,326.4
18144,2010-12-01,1,165.05
12947,2010-12-01,1,304.04
14766,2010-12-02,1,-29.9
14390,2010-12-02,2,217.75
14491,2010-12-02,1,127.2
15923,2010-12-02,1,127.08
14443,2010-12-02,2,-15.57
17760,2010-12-01,1,172.54
17287,2010-12-02,1,113.92
12971,2010-12-02,1,45.12
16858,2010-12-06,1,375.69
15291,2010-12-01,1,328.8
17924,2010-12-01,1,279
17920,2010-12-01,1,514.41
16552,2010-12-01,1,95.29
17346,2010-12-01,1,146.61
12748,2010-12-02,1,4.25
16583,2010-12-01,1,233.45
13758,2010-12-01,1,362.45
14078,2010-12-01,1,136.24
15485,2010-12-01,1,950.09
12433,2010-12-01,1,1919.14
12921,2010-12-01,1,322.4
16048,2010-12-01,2,256.44
13941,2010-12-02,1,1095.12
12471,2010-12-02,1,-17
13090,2010-12-02,1,160.6
18041,2010-12-02,2,428.94
15544,2010-12-02,1,354.54
17964,2010-12-02,1,261.76
14911,2010-12-02,1,22.5
14775,2010-12-02,1,406.56
14576,2010-12-02,1,35.4
16013,2010-12-03,2,1062
12779,2010-12-03,1,248.16
12712,2010-12-03,1,175.53
15299,2010-12-02,3,1835.01
17552,2010-12-02,2,298.52
18074,2010-12-01,1,489.6
16955,2010-12-01,1,156.1
14594,2010-12-01,1,255
17643,2010-12-01,1,101.55
16835,2010-12-01,1,81.75
15363,2010-12-02,1,326
15838,2010-12-02,1,-280.8
15732,2010-12-02,1,138.1
17838,2010-12-02,1,717.16
17659,2010-12-02,1,247.8
14625,2010-12-02,1,-37.65
15384,2010-12-02,1,-6.65
17924,2010-12-02,1,-23.25
16477,2010-12-03,1,225.65
16926,2010-12-03,1,230.25
13520,2010-12-03,1,303.4
17819,2010-12-03,1,591.47
15023,2010-12-05,1,460.6
12738,2010-12-02,1,155.35
,2010-12-06,22,23395.1
15919,2010-12-06,1,270.72
15984,2010-12-06,1,122.7
14176,2010-12-07,1,159.55
18229,2010-12-08,1,309
15916,2010-12-08,3,214.15
14932,2010-12-09,1,363.53
14060,2010-12-08,1,281
17965,2010-12-09,1,119.45
16098,2010-12-01,1,430.6
13468,2010-12-01,2,360.05
14696,2010-12-01,1,294.62
13715,2010-12-02,1,272.65
15752,2010-12-02,1,259.65
16928,2010-12-01,1,116.25
13065,2010-12-01,1,205.86
14135,2010-12-02,1,485.25
17690,2010-12-01,2,376.8
14741,2010-12-02,1,184.5
14092,2010-12-02,1,-5.9
15070,2010-12-02,1,106.2
17802,2010-12-02,1,100.2
16781,2010-12-02,1,311.25
13491,2010-12-02,1,98.9
13958,2010-12-02,1,-102.45
14156,2010-12-02,1,-7.5
14264,2010-12-02,1,-14.5
17396,2010-12-03,1,397.5
14679,2010-12-03,1,-2.55
14156,2010-12-03,1,322.2
17809,2010-12-03,2,1216.7
12395,2010-12-03,1,346.1
16033,2010-12-05,1,155.64
16905,2010-12-03,1,254.4
15038,2010-12-05,1,126.43
16353,2010-12-05,1,204
15880,2010-12-05,2,313.28
17863,2010-12-05,1,384.72
16411,2010-12-05,1,131.5
15867,2010-12-05,1,112.9
12967,2010-12-03,1,1368.4
13269,2010-12-05,1,351.43
17026,2010-12-05,1,33.15
15311,2010-12-05,1,650.64
15555,2010-12-05,1,198.43
13034,2010-12-05,1,165.86
13579,2010-12-05,1,164.7
15860,2010-12-06,1,102.66
14344,2010-12-06,1,322.8
15882,2010-12-06,3,350.32
16817,2010-12-06,1,244.2
13481,2010-12-06,1,-4.25
17287,2010-12-07,1,108.78
14821,2010-12-08,1,48.8
